Week,Building,Floor,Space Type,Space Name,Capacity,Avg. Occupancy,Avg Utilization,Avg Hours Used (HH:MM)
"January 1, 2024",Calgary Building 1,2,Desks,C261F,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,C293a,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,C293d,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E213E,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E228A,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E244A,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,C250A,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,C250B,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,C258C,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,C259A,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,C259B,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,C259C,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,C259D,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,C259E,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,C259F,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,C260A,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,C260B,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,C260C,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,C260D,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,C260E,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,C260F,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,C261A,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,C261B,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,C293b,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,C293c,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E201F,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E202A,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E202D,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E202E,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E202F,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E202G,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E212A,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E212D,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E213F,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E215B,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E215D,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E215E,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E215F,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E221E,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,2,Desks,E222D,1,0.00%,0.00%,0:00
